"Latitude","Longitude"
46.1862,7.630129
46.1952,7.621129
46.3887,8.012629
46.1529,7.495129
46.3761,8.025229
46.031299,7.075552
46.032589,7.074002
46.372317,7.956263
46.6644,8.81858
46.80254,9.14272
46.044,8.561629
46.1124,8.657929
46.1142,8.657029
46.1151,8.656129
46.1241,9.057529
46.125,9.060229
46.1268,9.059329
46.1286,9.060229
46.1295,9.056629
46.1322,9.062929
46.1331,9.064729
46.1331,9.068329
46.1763,9.113329
46.1763,9.125929
46.1772,9.121429
46.1772,9.131329
46.369068,7.960886
46.369086,7.954062
46.781365,9.904439
46.525044,8.767362
46.525059,8.767911
46.752107,9.867472
46.752115,9.867482
46.790428,9.767259
46.790632,9.767408
46.247464,10.10766
46.299476,7.368921
46.318463,9.105249
46.37118,8.069374
46.378305,8.21822
46.526475,7.550377
46.585524,8.296226
46.738379,7.298477
46.745053,7.30406
46.799958,8.479162
46.849885,9.738698
46.851122,9.739035
46.883328,10.417868
46.96863,10.392019
46.971062,10.390079
46.01518,7.059619
46.140961,8.690784
46.228195,7.225188
46.238164,7.865848
46.380937,9.788507
46.41734,7.772025
46.46856,9.519036
46.473959,9.521892
46.487862,8.61468
46.488054,8.615369
46.54578,8.254372
46.545818,8.254267
46.545829,8.251555
46.547399,8.260733
46.569448,7.138819
46.620808,9.00005
46.629938,9.013538
46.632954,9.423024
46.697602,9.525334
46.728035,7.244429
46.779385,8.079024
46.779815,8.077086
46.828585,10.32086
45.980118,7.77614
46.082435,7.487752
46.140089,7.493253
46.161873,7.153675
46.195428,7.790207
46.317964,7.695757
46.32668,7.71057
46.354135,7.950938
46.438756,7.554895
46.476697,6.995922
46.50691,7.464025
46.512578,8.308898
46.524363,7.49569
46.533606,8.302911
46.533683,8.305185
46.548882,9.218645
46.617439,7.633955
46.623077,9.482056
46.623219,9.482126
46.671487,9.64273
46.725198,10.238459
46.729472,10.23521
46.018974,7.160852
46.110801,7.765949
46.111829,7.450607
46.111929,7.767806
46.113023,7.770088
46.11338,7.7711
46.115653,7.770528
46.417826,9.743294
46.418147,9.74525
46.490333,8.615909
46.491698,8.616781
46.541078,8.865675
46.597289,9.28281
46.600246,9.283416
46.602995,9.282329
46.87574,10.42769
46.876472,9.234836
46.915262,9.912922
46.423119,6.098513
