"Latitude","Longitude"
46.1016,7.550029
46.437101,7.157599
46.443401,7.162433
46.0341,7.722829
45.9909,7.712029
45.9918,7.705729
46.0386,7.718329
46.0395,7.723729
46.643756,10.194083
45.9324,7.383529
45.9981,7.703029
46.0296,7.720129
46.0305,7.717429
46.1817,7.647229
46.4346,9.991729
46.4715,9.749629
46.1853,7.632829
45.9981,7.702129
46.1763,7.514929
46.1934,7.493329
46.1961,7.501429
46.197,7.494229
46.4346,9.990829
46.1529,7.495129
46.1583,7.536529
46.5201,7.637329
46.0305,7.721029
46.3734,8.020729
46.3761,8.025229
46.3806,8.034229
46.3941,8.091829
46.014946,7.831
46.023111,7.719591
46.028365,7.716119
46.032589,7.074002
46.034881,7.717641
46.042567,7.711202
46.354135,7.950938
46.368133,7.957196
46.368185,7.947304
46.369068,7.960886
46.369086,7.954062
46.369153,7.950964
46.372317,7.956263
46.373495,7.94056
46.6644,8.81858
46.80254,9.14272
45.971453,7.735227
45.993723,7.708375
46.369166,7.944051
46.644183,10.195033
46.644219,10.195034
46.645556,10.338056
46.031299,7.075552
46.0431,8.572429
46.044,8.561629
46.0449,8.543629
46.1142,8.657029
46.1151,8.656129
46.1268,9.059329
46.1286,9.060229
46.1331,9.068329
46.1763,9.113329
46.1763,9.125929
46.0422,7.964029
46.781365,9.904439
46.42341,7.40692
46.694207,10.330711
46.6944,10.330812
46.706004,10.402934
46.028287,7.137041
46.740177,9.866434
46.743615,9.885418
46.743719,9.88559
46.83222,9.92694
46.232686,8.720317
46.247464,10.10766
46.299476,7.368921
46.302392,7.369943
46.318463,9.105249
46.348646,7.895409
46.454138,9.555849
46.469272,6.997133
46.477547,7.504185
46.505762,7.142206
46.526475,7.550377
46.52903,7.557768
46.52943,7.551937
46.529728,7.552499
46.538536,8.359312
46.543879,8.883165
46.585524,8.296226
46.585593,8.298639
46.586253,8.292989
46.745053,7.30406
46.749392,7.303923
46.799958,8.479162
46.806397,10.274322
46.883328,10.417868
46.8964,8.906234
46.971062,10.390079
46.01407,7.764131
46.228195,7.225188
46.361822,9.620769
46.385393,8.976176
46.39822,7.763821
46.403216,7.761792
46.41734,7.772025
46.450153,7.040231
46.450536,7.039682
46.462988,9.670082
46.463158,9.666696
46.46856,9.519036
46.473959,9.521892
46.487862,8.61468
46.488054,8.615369
46.488745,7.510004
46.488927,8.612859
46.490786,7.509735
46.515185,7.165619
46.544001,8.321481
46.544749,8.249062
46.545095,8.31903
46.545657,8.252547
46.54578,8.254372
46.545818,8.254267
46.545829,8.251555
46.545865,8.25471
46.546013,8.256925
46.546099,8.255275
46.546926,8.257296
46.546996,8.260038
46.547065,8.260838
46.547116,8.261001
46.547128,8.260963
46.547129,8.261044
46.54715,8.261126
46.547185,8.261177
46.547399,8.260733
46.547405,8.256059
46.547688,8.315053
46.548704,8.269294
46.551456,8.287662
46.551486,8.287743
46.569437,7.136985
46.569448,7.138819
46.570323,7.136992
46.583527,9.791579
46.61277,9.974817
46.61279,7.629729
46.613847,9.97302
46.632954,9.423024
46.695747,9.361383
46.730685,7.244624
46.779815,8.077086
46.78486,9.411532
46.828585,10.32086
45.980118,7.77614
46.082435,7.487752
46.095671,7.154569
46.161873,7.153675
46.164243,7.151859
46.166285,7.157144
46.176416,7.483787
46.177532,7.498296
46.18469,7.499876
46.187092,7.49883
46.434398,9.550184
46.436061,9.029776
46.436973,9.03304
46.445014,9.553476
46.476697,6.995922
46.50691,7.464025
46.508158,7.472427
46.512578,8.308898
46.534106,7.007714
46.534376,7.008436
46.548522,8.2685
46.548882,9.218645
46.621167,9.480064
46.621174,9.477395
46.623077,9.482056
46.671487,9.64273
46.725198,10.238459
46.729472,10.23521
46.804085,9.253069
46.815375,10.286044
46.020556,7.201389
46.10822,7.76754
46.110801,7.765949
46.113023,7.770088
46.115653,7.770528
46.398532,7.138388
46.415459,9.74319
46.427582,9.638962
46.428436,9.642067
46.490333,8.615909
46.491698,8.616781
46.510097,7.144857
46.519856,7.551296
46.540879,8.866864
46.602995,9.282329
46.610494,9.95995
46.876104,9.233868
46.87681,10.431138
46.885414,8.332902
46.915262,9.912922
46.924833,8.344506
46.94737,10.361632
47.278617,9.493508
47.279756,9.491344
46.4238,6.100129
46.423119,6.098513
46.492615,6.120354
