"Latitude","Longitude"
46.43461,7.161671
46.437101,7.157599
46.2231,7.097329
46.2312,7.091929
46.2321,7.091929
46.2393,7.097329
46.0305,7.721029
46.1151,7.305229
46.2069,7.626529
46.4715,9.749629
46.4724,9.749629
46.5804,9.804529
46.5876,9.882829
46.6218,10.257229
46.6218,10.258129
46.6272,10.259929
46.629,10.260829
46.6524,10.366129
46.6578,10.341829
46.665,10.353529
46.0296,7.720129
46.1142,7.305229
46.5795,9.804529
46.5876,9.876529
46.6515,10.350829
46.6578,10.340929
46.6713,10.349929
46.5201,7.637329
45.9909,7.345729
46.2258,6.883129
46.3734,8.020729
46.3941,8.091829
46.368133,7.957196
46.369068,7.960886
46.369086,7.954062
46.369153,7.950964
46.372317,7.956263
46.6644,8.81858
46.80254,9.14272
46.663771,10.24148
46.42341,7.40692
46.044,8.561629
46.1124,8.657929
46.1142,8.657029
46.1151,8.656129
46.1241,9.057529
46.125,9.060229
46.1268,9.059329
46.1286,9.060229
46.1295,9.056629
46.1322,9.062929
46.1331,9.064729
46.1331,9.068329
46.1763,9.113329
46.1763,9.125929
46.1772,9.121429
46.1772,9.131329
46.220746,7.100869
46.231072,7.092093
46.653352,7.911811
46.027758,7.136932
46.028287,7.137041
46.232686,8.720317
46.29499,7.15027
46.299476,7.368921
46.316124,7.560778
46.318463,9.105249
46.346883,7.895392
46.348646,7.895409
46.351318,7.897093
46.36028,7.97806
46.36556,7.98056
46.37832,8.217575
46.454138,9.555849
46.45439,9.550516
46.454738,9.550061
46.485841,7.507678
46.505762,7.142206
46.526475,7.550377
46.528629,7.551285
46.52943,7.551937
46.529728,7.552499
46.530813,7.559809
46.533205,7.554947
46.538536,8.359312
46.543879,8.883165
46.544117,8.883554
46.559507,7.615409
46.573807,7.633545
46.585593,8.298639
46.634559,8.682315
46.634595,9.376079
46.639007,9.37248
46.642448,10.30697
46.720109,7.302845
46.742064,7.299577
46.745053,7.30406
46.786059,8.726896
46.799958,8.479162
46.80378,10.285793
46.804493,10.286578
46.804668,10.285851
46.806397,10.274322
46.809173,10.270497
46.81222,10.269273
46.849542,9.738931
46.8964,8.906234
46.926852,9.816878
46.970471,10.391904
46.971062,10.390079
46.01407,7.764131
46.140194,8.677975
46.140961,8.690784
46.141114,8.685698
46.141854,8.687398
46.228195,7.225188
46.234863,7.865494
46.236807,7.86617
46.238164,7.865848
46.281102,10.137082
46.283942,7.21688
46.289332,7.140699
46.289441,7.140834
46.361822,9.620769
46.386121,8.976152
46.403216,7.761792
46.416911,7.772757
46.41734,7.772025
46.447029,7.645243
